file,ratio,blw,allNoun
data/English Textbook 4 Readability Level/difficult/9-agri-1.tei,0.0,,high | longer | air flow | or | sea | as | chili | root hair | 50 | rate | fertility | component | a | porosity | formation | time | days | respiration | same | characteristic | so | structure | half | duration | aeration | loam | sun | jute | thus | production | system of measurement | growing | rainfall | proportion | surface | living | plant | addition | are | area | remains | have | sugarcane | oil | process | while | micro-organism | parent | compost | matter | years | may | can | phosphorus | composition | force | ideal | move | seed | then | chemical | mixture | banks | nature | nitrogen | sand | drainage | compound | pepper | desert | found | use | source | form | snowfall | due | rest | soil | content | make | sulphur | cold | at | fine | space | complex | like | environment | crumb | humus | granule | keep | loom | potato | it | case | following | majority | ganges | wheat | an | material | type | capacity | rock | more | class | present | metamorphic rock | heavy | large | scientist | bangladesh | water | size | example | particle | air | clay | radish | moisture | calcium | silt | light | active | natural | age | classified | oxygen | carbon | development | mineral | corp | holding | fall | cotton | i | wa | part | nutrient | till | rice | cool | organism | variation | flood plain | watermelon | dry | floodplain | residue | crust | texture | international | mixing | rotting | green manure | absorption | presence | crop | ploughing | rain | sedimentary rock | pore | irrigation | life | tobacco | main | 70 | result | equal | in | increase | manure | cent | 40 | igneous rock | decomposition | percent | river | kaon | snow | three | now | sills | better | action | see | using | flow of air | animal | ha | layer | major | region | 25 | vegetable | 5 | organic | intensive | be | low | beach | decay | elements | temperature | pulse | earth
data/English Textbook 4 Readability Level/difficult/9-agri-12.tei,0.0,,canal | cultivation | longer | quantity | month | above | legs | rostrum | nourishment | invertebrate | numbers | or | hours | 7 | as | lime | side | 50 | 90 | first | setting | young | transportation | 80 | marketing | annual | practice | rate | fertility | gas | lobster | poultry | possible | a | 0 | condition | tip | green | time | days | fish | attack | same | thousand | arrangement | predator | so | embankment | list | take | duration | product | body | enclosure | loam | farm | decimal | pot | place | p | given | metric ton | one | availability | production | belt | ice | 13 | 12 | loop | addition | are | area | depth | acres | enough | system | have | ridge | upper side | tons | average | black | 1000 | nutrition | tree | red | single | fresh water | 14 | management | may | can | small | tube well | evening | then | method | food | saline | colour | there | creature | end | come | reservoir | here | supplying | hectare | found | soil | sunrise | requirement | application | at | comparison | m | year | bank | like | dung | february | ground | environment | carp | excreta | 100 | sunray | 8 | it | case | following | acre | release | catching | total | an | bottom | few | type | cox | white | fries | disease | daily | ingredient | more | salinity | urea | large | tiger | doe | bangladesh | water | need | foreign exchange | will | taka | weight | bazar | 20 | clay | pair | catch | sunlight | farming | spread | lower | light | natural | apprehension | number | age | making | slough | oxygen | species | two weeks | success | high tide | net | well | chapter | i | wa | entering | part | stain | season | strip | balanced diet | cash | full moon | pond | metre | look | mp | growth | resource | 4 | big tree | 60 | o | male | cu | 3 | change | mouth | amount | mixing | 1 | 15 | bamboo | collection | general | preparation | land | tide | germ | out | quality | feed | almond | crore | reason | result | culture | good | in | increase | gm | shade | 10 | front | shelter | 6 | 40 | 11 | joint | kg | cow dung | entrance | river | plenty | now | female | lac | carapace | entry | exporting | using | shrimp | right | second | semi | ha | attempt | quick | region | country | 5 | supply | fertilizer | intensive | prawn | be | low | new moon | cow | adult | 2 | times
data/English Textbook 4 Readability Level/difficult/9-agri-10.tei,0.0,,50 | jail | mirror carp | market | possible | green | time | regulation | eats | take | farm | place | production | given | order | living | 12 | are | demand | piranha | system | man | average | climate | breeding | construction | june | sell | there | head | being | come | laws | law | aquatic plant | way | application | fine | like | dark | it | government | catching | bottom | type | carry | zone | doe | winter | 20 | lateral | natural | fisher | kind | i | fish farm | farmer | bay of bengal | cool | metre | grey | crop | population | kg | vogue | level | three | now | infrastructure | harvesting | animal | revenue | supply | point | movement | times | month | above | necessity | or | explosive | poa | hatchery | side | conversion | young | april | consumption | a | fish | shape | respiration | thousand | china | body | demonstration | one | clear | growing | belt | 23 | basis | plant | pollution | period | gram | price | tons | habitat | fresh water | livelihood | toxic industrial waste | move | colour | insect | fry | found | produce | environment | dweller | following | an | present | large | size | classified | species | 9 | chapter | temper | specific | season | habit | july | principle | irrigation | teacher | export | lip | in | gm | 10 | disposal | 40 | execution | middle | deficiency | percent | plankton | river | lac | sort | portion | sector | rapid | shrimp | ha | country | eggs | be | low | gun | maturity | cultivation | longer | white | conservation | as | zooplankton | term | rate | manner | characteristic | so | embankment | normal | value | no | last | peoples | area | lay | while | current | micro-organism | russia | years | composition | poison | food | saline | weeds | collect | drainage | hectare | reproduction | source | blood | due | problem | requirement | make | silver | at | year | 24 | hunting | reduction | keep | abdominal | conserve | hole | total | few | material | mud | disease | more | fishing | matric | light brown | tail | ways | resistance | necessary | summer | arrow | grass | net | expose | sub | programme | dorsal fin | pond | act | resource | 4 | great | import | common | open | measure | 1 | volume | protein | 15 | gill | row | training | general | land | particular | feed | culture | dig | fin | tank | cent | straight | punishment | asia | female | lake | pesticide | november | layer | two | intensive | jew | cause | canal | high | fingerling | small | extension | length | oder | setting | condition | thick | south | study | tip | hope | day | upper | have | dike | phytoplankton | management | may | can | apex | original | full | nature | special | use | rainy season | soil | acts | gray | group | carp | 30 | dose | microorganism | 8 | mass | scale | release | dependent | steps | flood control | coral | view | fries | boat | bangladesh | water | example | harvest | weight | catch | lower | potential | tray | vertebrate | measuring | development | stage | character | native | wa | december | marine | plan | flat | 28 | flood plain | free | growth rate | feeding | 3 | mouth | trawler | destruction | fields | collection | do | short | establishment | reason | increase | context | improvement | power | hoar | using | cm | major | semi | region | 5 | organic | help | defaulter
data/English Textbook 4 Readability Level/difficult/9-agri-13.tei,0.0,,quantity | white | or | 7 | as | lime | draw | side | first | note | severity | rate | mg | a | 0 | minute | begin | external | days | fish | litre | round | attack | characteristic | viral infection | suck | take | stick | body | persecution | substance | decimal | one | proportion | surface | are | depth | pollution | control | mark | have | lack | primary | swelling | sucker | scar | drop | red | matter | may | belly | can | eyes | move | then | chemical | food | die | saline | speed | colour | injection | skin | head | interval | being | deposition | come | cut | special | wearing | parts | book | standard | swift | blood | due | rectum | swell | things | application | at | comparison | potassium permanganate | name | environment | initial | saline solution | 100 | dose | keep | it | case | down | scale | following | symptom | contagious disease | majority | an | type | disease | more | doe | squeezing | water | 15 minutes | will | magnifying glass | 20 | tail | bacteria | organ | stops | number | pale | tray | naked eye | oxygen | development | mineral | stage | wings | hour | clean | parasite | i | part | minutes | web | nutrient | copper sulphate | pond | metre | salt | free | growth | formalin | balance | turn | want | circulation | fungus | sore | 3 | change | ammonium | mixing | 1 | give | protein | 15 | fungi | rub | gill | tear | malnutrition | presence | shortage | fed | cubic metre | general | preparation | particular | germ | out | result | reason | good | in | gm | fin | solution | infection | liquid | joint | 40 | kg | spots | luster | dot | losses | vitamin | diagram | small white | terramycin | slat | 5 | supply | organic | be | decay | 2
data/English Textbook 4 Readability Level/difficult/9-agri-14.tei,0.0,,american | over | block | small | or | ration | hours | 7 | as | plate | side | first | mucus | parcel | fresh fish | enzyme | marketing | transportation | grade | eating | sharp | lobster | chlorine water | leaf | consumption | market | ooze | a | possible | begin | keeping | days | fish | outside | time | same | rack | medicine | thousand | so | c | half | stand | take | product | body | egg | dryness | sun | freezing | last | no | place | production | metric ton | blast | one | order | remove | wax paper | fat | ice | 13 | 12 | basis | living | are | preserve | remains | selling | control | demand | know | enough | system | financial year | lack | primary | melt | process | village | nutrition | fourth | importance | consumer | may | belly | can | eyes | dish | then | method | economy | die | food | saline | colour | there | creature | head | collect | full | pound | teacher | cut | freezer | parts | profit | use | washing | care | standard | form | way | blood | e | muscle | cold | at | polythene | starting | extent | body temperature | like | year | hand | taste | environment | fact | tearing | smear | dose | frog legs | keep | 8 | it | case | down | hole | scale | preserves | catching | push | steps | knowledge | total | role | bottom | type | view | policy | piece | more | cold water | hessian | present | dead | cell | bangladesh | strengthening | water | size | foreign exchange | example | transport | taka | will | weight | air | 20 | entrails | hip | processing | sunlight | d | bacteria | spread | tail | package | potential | taking | tissue | pale | making | refrigeration | tray | grass | weighing | development | stage | death | well | chlorine | cartoon | fall | specific | arranging | basket | i | wa | mat | lakh | stop | whole | plan | pond | act | salt | 28 | free | resource | 4 | great | putting | want | dry | lowering | long time | 3 | change | start | international | amount | 1 | protein | 15 | bringing | height | fishery | gill | harm | bamboo | people | rot | do | collection | tear | grading | short | banana | box | third | knife | particular | export | germ | bag | out | progress | crore | quality | reason | result | good | in | increase | low temperature | fin | 10 | local | play | solution | liquid | kg | 40 | chemical element | preservation | fatty | house | level | contribution | position | chambers | context | decomposition | so long | now | pm | ware | action | heat | portion | exporting | using | shrimp | tails | cm | ha | layer | bound | country | 5 | supply | national | eggs | salting | target | help | leave | be | direction | cause | low | platform | temperature | 2 | ton | times
data/English Textbook 4 Readability Level/difficult/9-agri-11.tei,0.18761726078799248,drum,conditions | 7 | body weight | eating | practice | grub | fertility | gas | mirror carp | market | possible | testing | green | time | round | africa | same | eats | brown | take | farm | best | place | production | given | order | get | living | 12 | pan | are | demand | system | mark | average | phosphorus | evening | method | die | there | head | cut | alkalinity | aquatic plant | way | flood | things | application | m | fine | like | dark | sunray | it | government | big fish | nursing | catching | wheat | bottom | type | ability | dwelling house | trouble | urea | heavy | doe | sprinkling | winter | 20 | clay | sieve | sunlight | spread | natural | making | pupa | mineral | waters | well | basket | i | coverlet | super | metre | grey | growth | investment | decrease | dry season | amount | green manure | bamboo | crop | preparation | kg | acidity | entrance | dropsy | three | now | transparency | action | husk | fire | animal | microscope | movable | quick | supply | fertilizer | molasses | movement | times | month | moss | above | why | beating | or | hours | side | float | note | marketing | mosquito net | consumption | a | green algae | identification | days | fish | body | tablet | one | growing | dropper | thorn | plant | basis | sustainability | depth | hyacinth | cutting | tons | drop | fresh water | livelihood | matter | importance | meet | physical condition | chemical | colour | insect | creature | food cycle | water hyacinth | measurement | casting | floating | fry | parts | produce | bottle | straw | labour | cold | diagnosing | taste | dung | algae | environment | 100 | gasp | case | following | colours | acre | fence | thing | ready | an | capacity | ingredient | hatchling | corner | present | member | ml | need | size | precondition | determination | base | air | pair | wall | bacteria | laboratory | number | finger | hour | rates | cake | week | season | hatching | poisoning | roots | old | familiar | ploughing | third | irrigation | out | shrub | lip | phosphate | description | good | in | gm | 10 | 40 | ratio | caste | hopper | percent | plankton | see | getting | portion | label | diagram | caudal fin | bucket | ha | country | swimming | cost | be | low | pump | temperature | cultivation | daphnia | over | partial | quantity | white | excess | as | even | lime | ball | remedy | zooplankton | rate | spoil | pest | mg | hiding | keeping | procedure | characteristic | predator | so | normal | value | range | product | aquatic | no | rotifera | put | mite | remains | control | enough | ling | process | nutrition | black | red | obstacle | glass | food | weeds | mixture | banks | clearness | collect | end | here | book | hectare | broadcast | source | treatment | blood | due | carbon dioxide | problem | make | silver | at | extent | bank | mortality | year | sale | margin | 24 | might | triple | west | go | keep | deep water | knowledge | total | material | dal | disease | daily | mud | more | hang | morning | entrails | broad | mills | subject | tail | light | necessary | summer | text | grass | oxygen | stem | net | fall | nutrient | potash | rice | dorsal fin | pond | look | 4 | great | volvox | want | dry | 60 | diatom | plantation | common | change | measure | mater | mixing | 1 | volume | 15 | goat | vertical | extract | presence | breadth | bleaching powder | general | land | tree | equal | deep | culture | fin | front | local | manure | he | much | names | asia | show | brick | pants | right | layer | two | 25 | intensive | nursery | factor | cow | 2 | bush | high | fingerling | going | small | length | variety | draw | gunny | spine | covering | poultry | cover | leaf | condition | eradication | south | thick | litre | regular | c | structure | stick | loam | pot | decimal | sun | day | thus | p | availability | proportion | pulling | loop | addition | upper | have | sedge | potassium | phytoplankton | compost | management | may | seedling | can | ideal | then | nature | nitrogen | use | form | rearing | rainy season | soil | health | fountain | patient | carp | 30 | excreta | blending | dose | 8 | scale | down | cows | dependent | steps | removal | fries | productivity | bangladesh | hindrance | multiplication | observation | water | example | will | harvest | weight | calcium | lower | taking | age | top | stage | influence | input | stocking | copper sulphate | whole | flat | slide | growth rate | big tree | diet | long time | 3 | mouth | height | rot | fish meal | ph | collection | selection | life | school | germ | result | reason | supplying | domestic animal | increase | 6 | mustard oil | shallow | spots | beaker | bran | compare | decomposition | better | drum | using | cm | obstruction | semi | region | 5 | organic | help | leave | essential | elements | tape
data/English Textbook 4 Readability Level/difficult/9-agri-15.tei,0.0,,month | above | rh | necessity | small | numbers | or | white | hours | 7 | as | even | seventh | 50 | first | hatch | side | setting | variety | bulb | 80 | broody hen | poultry | human | a | thick | time | days | cc | respiration | characteristic | so | smooth | c | structure | brown | sound | advantage | egg | farm | no | best | day | place | one | order | 23 | basis | hitting | are | re | area | lay | enough | mark | system | have | upper side | oil | ancient | nest | process | possibility | village | black | may | can | g | solitary | composition | developing | ideal | move | then | method | food | die | hands | bad egg | colour | molting | outlet | piece of cloth | there | broody | electric | incubation | found | hen | noise | straw | care | insecticide | cleanliness | carbon dioxide | cock | problem | yolk | things | e | incubator | make | modern | at | potassium permanganate | year | body temperature | like | dark | room | might | tapering | 100 | dose | fumigation | 8 | it | case | bad | hole | 500 | following | examination | inside | torch | instrument | an | material | must | coming | capacity | daily | more | hessian | timer | bangladesh | water | shell | size | will | sodium chloride | ventilation system | weight | air | broad | winter | sunlight | turning | lower | light | natural | necessary | number | age | making | summer | born | measuring | oxygen | development | tray | serial | stage | wire | hold | rates | cloth | basket | clean | i | 21 | hatching | stop | u | look | transfer | chick | free | rural area | blood vessel | 4 | formalin | decrease | 60 | 3 | humidity | fertilized egg | old | start | brooding | give | littre | 15 | 18 | do | presence | duck | fed | pore | selection | electricity | third | particular | germ | out | relative humidity | reason | good | in | night | angle | gm | 10 | security | bowl | preservation | 40 | dust | separate | house | kerosene | middle | intake | brood | three | husk | getting | portion | breed | medium | cm | country | lie | giving | eggs | fertilizer | help | leave | be | embryo | cause | low | temperature | 2 | times
data/English Textbook 4 Readability Level/difficult/9-agri-16.tei,0.2976190476190476,lamp,american | high | longer | over | quantity | month | worm | brooder | going | legs | length | or | requisite | rh | hours | 7 | as | lime | side | double | conversion | first | bulb | 80 | marketing | capital | rate | poultry | market | a | rhode island red | time | days | roof | arrangement | medicine | fault | so | planning | c | chicken | list | 120 | normal | deceased | duration | sound | take | board | wetting | egg | crossing | farm | pot | best | centre | day | english | given | cornish | one | growing | order | place | production | get | put | living | 23 | pan | are | area | lay | remains | control | enough | period | have | man | price | sussex | climate | red | guard | management | matter | meet | may | time immemorial | years | roads | can | saw | business | small | drainage system | ceiling | then | method | food | die | hands | sight | there | skin | oyster shell | electric | end | full | come | dwelling | kerosene lamp | supplying | found | produce | hen | straw | thickness | use | care | darkness | insecticide | form | high temperature | rearing | washing | due | soil | way | requirement | e | commercial | make | at | cluster | space | like | bird | hand | ground | name | tin | environment | purpose | room | premix | initial | 24 | 100 | 8 | it | leghorn | floor | inside | broiler | dirt | following | importing | contagious disease | lighting | nursing | an | material | type | must | crude | white | disease | daily | ingredient | more | trouble | attention | furnace | loss | doe | bangladesh | sprinkling | water | size | will | ventilation system | weight | air | 20 | furniture | winter | site | farming | calcium | meal | spread | light | relative humidity | taking | necessary | number | summer | age | making | new hampshire | tray | circumference | measuring | development | mineral | success | stage | net | vaccination | roofing | well | wire | specific | clean | week | influence | i | 21 | entering | mat | season | sewerage | rice | balanced diet | cross | whole | programme | drinking water | result | metre | chick | means | free | growth | maximum | wood | 4 | balance | great | diet | dry | 60 | eight | feeding | putting | four | meat | blow | start | amount | feeder | 1 | brooding | littre | protein | 15 | height | bamboo | collection | fencing | strain | short | breadth | training | egyptian | goal | electricity | selection | land | particular | germ | establishment | electric heater | 70 | feed | main | cleaning | description | out | good | in | netting | gm | night | front | routine | burial | specialist | empty | watt | breath | 40 | mate | dust | separate | house | kerosene | deficiency | housing | percent | mediterranean | hi | ventilation | now | homestead | gather | function | heat | husk | power | see | entry | vitamin | dress | rapid | using | breed | right | cm | ha | layer | country | 25 | 5 | supply | point | eggs | 16 | be | laying | low | germicide | 2 | temperature | movement
data/English Textbook 4 Readability Level/difficult/9-agri-18.tei,0.0,,difference | quantity | or | ration | as | lime | first | capital | poultry | a | condition | nut | green | time | days | fish | same | hotel | so | list | take | body | substance | egg | sweet potato | sun | no | upside | place | calorie | collecting | production | given | fowl | fat | proportion | substitute | are | control | have | oil | mustard | strength | circumstances | can | phosphorus | seed | then | food | colour | millet | mixture | there | cut | hen | fill | way | due | yolk | things | at | vegetable oil | like | bird | hand | ground | purpose | premix | oyster | keep | it | mass | down | following | cows | energy | thing | total | an | wheat | material | type | must | disease | ingredient | more | piece | present | loss | cell | water | food grain | need | shell | will | carbohydrate | entrails | meal | calcium | resistance | taking | light | turning | hot water | necessary | age | grass | development | bone | mineral | top | well | khesari | cake | clean | week | i | nutrient | maize | rice | whole | look | salt | turn | feeding | fungus | four | meat | undesirable | amount | mixing | protein | goat | fish meal | mill | shortage | duck | out | 70 | almond | result | supplying | in | increase | pyramid | dust | fatty | bran | three | cod-liver oil | downside | now | function | husk | vitamin | getting | handful | 5 | yellow | eggs | help | snail | be | elements | temperature | molasses | pulse
data/English Textbook 4 Readability Level/difficult/9-agri-17.tei,0.0,,cultivation | month | above | legs | small | or | catfish | 7 | as | even | lime | 50 | first | remedy | young | marketing | rate | fertility | gas | poultry | a | condition | time | days | fish | roof | attack | jungle | predator | so | smooth | chicken | list | brown | take | stick | frog | aquatic | decimal | no | best | place | thus | production | given | remove | fowl | growing | star | pulling | 13 | 12 | pan | are | depth | area | lay | control | campbell | remains | enough | system | have | expert | life cycle | square | drop | management | meet | construction | may | years | young fish | aperture | can | solitary | poison | then | method | food | positive | weeds | khaki | there | permanent | insect | banks | square metre | density | cut | nil | fund | floating | hen | straw | source | aquatic plant | way | rearing | rest | soil | problem | requirement | make | silver | application | treat | at | space | year | bank | leaving | like | hand | tin | environment | purpose | sesame | swim | carp | 30 | excreta | integration | keep | oyster | 8 | it | floor | case | hole | broiler | following | wheat | total | centimetre | an | am | bottom | role | type | fries | disease | daily | more | heavy | productivity | doe | bangladesh | water | need | size | particle | weight | air | 20 | clay | winter | farming | dry land | inquest | meal | light | natural | necessary | number | age | making | mixed farming | grass | oxygen | summer | wet | 9 | net | well | sunset | fall | cake | parasite | week | i | 21 | mat | nutrient | rice | balanced diet | cross | gap | pond | activity | chance | metre | act | distance | chick | salt | means | growth | indian | 4 | wind | feeding | 60 | common | 3 | lath | meat | s | dry season | amount | mixing | 1 | protein | height | bringing | fishery | fish meal | 18 | bamboo | do | little | fencing | shortage | duck | fed | preparation | land | out | feed | result | crore | equal | scientific method | supplying | good | in | increase | gm | local | 10 | manure | night | kg | dust | separate | house | fight | bran | lac | husk | least | extra | using | breed | right | rubbish | cm | ha | layer | two | country | 25 | 5 | supply | organic | eggs | fertilizer | help | snail | leave | be | dive | laying | low | temperature | 2 | runner | times
