file,ratio,blw,allNoun
data/testDataVietnamese/pp/AN_VNE_ (242).txt,15.42056074766355,anh | ba | bài hát | bút | bằng | chân | chị | con | cười | giấy | hát | hướng | hợp | làng | lên | mang | mở | nghĩa | ngày | người nghe | năm | sao | sinh | sách | sống | tháng | thứ | tin | tre | trẻ | trừ | đêm | đất,album | anh | ao | ba | biết | bài hát | bài thơ | bán | bên | bút | bạn | bản | bậc | bậc nhất | bằng | bị | bờ | cao | cau | cd | chim | cho | chuyện | chân | chê | chính | chính mình | chạy trốn | chặng đường | chết | chỉ | chị | chồng | chỗ | con | con mắt | con tim | con đường | càng | các | cái bóng | cái gì | câu | cây | có được | cười | cạnh | cần | của | diva | dòng | dù | dần | dễ | dịp | dồn | em | ghét | giúp | giấy | giọng hát | giống | giới | giữ | giữa | giữa trưa | gói | gắn | gửi thư | hai | hai mươi | hay | hiểu | hát | hè | hướng | hướng tới | hết | họ | họ thích | học | hợp | khen | khi | khoảng | khác | khác nhau | không | không ai | không có | không thích | khúc | làm | làm ra | làng | lên | lòng | lúc | lũ | lậu | lặp lại | lời | lụa | mang | miền quê | muốn | mình | mùa đông | mọi | mọi người | một | một lúc | một năm | mở | mức | mỹ | nghe | nghĩ | nghĩa | nghề | ngàn | ngày | người | người bạn | người dân | người làm | người nghe | người yêu | ngược lại | ngừng | ngực | nhau | nhiều | nhà | nhà tranh | nhận | nhận ra | nên | năm | nổi | quá nhiều | quê | ra | ru | rất nhiều | rặng | rồi | sao | sao lại | sinh | sách | sống | sống chung | sức | ta | thuộc | tháng | thích | thôi | thấy | thế | thứ | tin | tiếng | tiếng việt | tre | trên đường | trẻ | trời | trừ | tuổi | tách riêng | tìm thấy | tình người | tính | tôi | tăng | tạo nên | tạo ra | tốn | tốt | từ | từ chính | tỵ | viết | vào | vì | vươn tới | vần | vốn | xếp | yahoo | yếm | đi | đi qua | điều | điều xấu | điệu | đàn | đào | đá | đây | đê | đêm | đó | đúng | đĩa | đạt | đất | đặt | đều | để | ớt | ở
data/testDataVietnamese/pp/AN_VNE_ (315).txt,17.11229946524064,anh | bài | bài hát | bằng | câu hỏi | cô gái | cúp | giọng | giờ | gửi | hát | hơi | khắc | kêu | lên | lớn | mang | mở | ngày | người nghe | người đến | năm | phim | sao | sống | thêm | thứ | tin | truyền | trẻ | tên | đêm, lớn nhất | album | anh | ban | bao | biết | buồn | bài | bài hát | bạn | bản | bằng | bị | bộ | ca | cao nhất | chiều | cho | chuyện | chuyện đùa | chào | chính | chất | chất giọng | chỉ | chốn | cuộc | càng | các | cách | cái gì đó | cát | câu hỏi | cãi | có được | cô gái | cùng | cúp | cả | cầm | cần | của | dòng | dù | dịp | em | giúp | giọng | giọng hát | giới | giới trẻ | giờ | giữ | giữa | gửi | hai | hay | hiểu | hát | hơi | hướng tới | hết | khen | khi | khác | khác nhau | không | không muốn | khắc | kén | kêu | làm | làm cho | làm mới mình | lên | lòng | lúc | lưng | lượng | lấy | lần | lớn | lời | lời ca | lời mời | mang | muốn | mình | mất | mẩu | mọi người | một | một người | mở | nghe | nghiêng | nghĩ | nghề | ngày | ngày nào đó | người | người bạn | người dân | người làm | người nghe | người yêu nhạc | người ít nói | người đến | ngừng | nhau | nhiều | nhận | nhắm mắt | nhỏ | niềm vui | nét | nên | năm | nơi | nơi đó | nước | phai | phim | phút cuối | phần | quay | quá nhiều | quán | ra | rock | rút | rất nhiều | sao | sau này | suốt | sâu | sắp tới | sống | ta | thiếu | thoát | thêm | thích | thôi | thăm | thảo | thấy | thế | thời | thứ | tin | truyền | trẻ | trịnh | tuổi | tên | tìm | tôi | tốt | tốt hơn | từ | việc | vào | vì | vươn tới | vẻ ngoài | vốn | xin chào | ít | ông | đi | điều | điểm | điện | đây | đêm | đó | đóng | đúng | đưa | đưa vào | đầu | đặt | đều | để | đợt | ở
data/testDataVietnamese/pp/AN_VNE_ (428).txt,20.0,a | an | anh | bài | bài hát | băng | bằng | cam | chân | chị | con | cua | câu hỏi | công giáo | cổ | dao | dép | dê | giường | giọng | giờ | gửi | hát | hơi | hướng | hẹn | khách | kiếm | làng | lên | lễ | lớn | mua | mô | môi | mơ | mở | nghỉ | ngày | ngăn | nhóm | năm | phim | phong | ruột | sao | súng | sống | tháng | thêm | thư | thứ | tin | tinh | tiêm | trang | tre | trẻ | tên | u | uống | vắng | đau | đo | đêm | đô | đôi | đường,a | ai đó | album | an | anh | australia | bai | ban nhạc | bao | be | bi | binh | biên | biến | biết | bo | buộc | bài | bài hát | bài viết | bàn | báo | bé | bô | băng | bơi | bước | bạn | bản | bắc | bằng | bị | bỏ | bộ | ca | ca này | cai | cam | campuchia | can | canada | canh | cao | cao nhất | cat | cd | chi | chiếc | cho | chon | chuyện | chuyện vui | chàng trai | chào | chân | chính | chính mình | chúc | chất giọng | chặng đường | chỉ | chị | chữ | co | con | con tim | cua | cua anh | cung | cuối năm | cuộc | các | cách | cách riêng | cái gì | cát | cân | câu | câu hỏi | cây | có được | cô | cô bé | cô gái trẻ | công | công giáo | cùng | cả | cần | cậu | cậu bé | cổ | của | cửa | da trắng | dam | dao | di | diva | dvd | dân | dép | dê | dễ | em | gai | ghét | gi | gia | giá | giúp | giường | giấc mơ | giấc mộng | giọng | giọng hát | giới | giờ | giữ | giữa | gửi | hai | hay | hiểu | hiệu | hoa | hát | hình | hơi | hướng | hẹn | họ | họng | hồng | khan | khi | khác | khác nhau | khách | khát nước | không | không có | không muốn | không đủ | kiếm | kiểu | ky | kê | la | làm | làm người | làm phiền | làm tóc | làm tôi | làng | lên | lòng | lòng tin | lôi | lúc | lăng | lấy | lấy lại | lần | lắc | lễ | lớn | lời chào | lời khuyên | lời mời | lứa tuổi | lửa | ma | mai | mi | mua | muôn | muốn | muốn có | mình | mô | môi | măng | mơ | mướn | mất | mặc | mặt | mọi | mỏi | mối tình | một | mở | nam | nghe | nghĩ | nghỉ | ngày | ngăn | người | người theo đạo | người yêu nhạc | ngủ | nhau | nhiều | nhà | nhân | nhìn thấy | nhóm | nhỏ | nhờ | nét | nên | năm | năm trời | nơi | nưa | nước | nắm đấm | nỗi đau | phai | phim | phong | phía bắc | phần | quận | ra | ruột | răng | rất nhiều | rồi | sao | sau này | se | si | song | suy | suốt | sáng | sòng bài | sông | súng | sơ | sơn | sư | sắp tới | số | sống | ta | thanh | thiên chúa giáo | thoi | thành | tháng | thây | thê | thêm | thích | thôi | thư | thương | thấy | thế | thời | thứ | thử | tin | tinh | tiêm | tiên | trang | trao | tre | trắng | trẻ | trời | tuổi | tên | tìm | tính | tôi | tơi | tối | từ | u | uống | va | vi | viên | việc | vào | vân | vì | vắng | xe | xin chào | xuống | xâu | xưa | y | yahoo | áo | ôm | đa | đau | đe | đeo | đi | đi lên | đi qua | điên | điêu | điều | đo | đàm | đánh | đây | đê | đêm | đó | đóng | đô | đôi | đông | đúng | đưa | đường | đạt được | đấm | đấy | đặt | đẻ | đều | để | đồ | độ tuổi | đợi | đứa con | ưng | ở
data/testDataVietnamese/pp/LS_VNE_ (40).txt,15.671641791044777,anh | bằng | bệnh | cháu | chạy | con | câu hỏi | dẫn | giáo | giảm | lan | lớn | nhìn | năm | rơi | sống | tháng | trẻ | uống | đau | đường,aids | anh | biết | buổi | bà | bên | bạn | bậc | bằng | bệnh | bệnh lây | bị | bỏ | bộ | cho | chuyện | cháu | chính | chơi | chạy | chống | chồng | chục nghìn | con | cuộc | các | cách | cái gì | câu hỏi | cô | căng | cả | cần | của | dẫn | em | giáo | giúp | giảm | giới | giới trẻ | hai | hay | hiv | hiểu | hàng | hút | hết | họ | học | hội | khi | không | kiểu | lan | làm | lấy | lần | lối sống | lớn | lời khuyên | lứa tuổi | mình | môn | mất | mắc | mặt | một | một cái | một phần | một đôi | nghĩ | nguồn | người | người sau | người đang sống | ngực | nhiều | nhà | nhìn | niềm tin | nên | núm vú | năm | nạo | nếp sống | nổi | phương tây | ra | rơi | rồi | song | suốt | số | sống | thai | thiếu | thuê | thuốc tránh thai | tháng | thấy | thế | thử | tiền | trong khi | trong suốt | tránh | trẻ | tuổi | tìm | tìm đến | tôi | tỉnh thành | tốt | từ | uống | vào | vì | vợ | xuống | ít | đau | đen | đi | đoàn | đây | đó | đúng | đưa ra | đường | đầu | đẩy | để | ở
data/testDataVietnamese/pp/LS_VNE_ (80).txt,16.50485436893204,anh | bắn | bằng | bệnh | cô gái | da | giải | giọng | giờ | gối | hơi | kiếm | lớn | ngày | nhìn | năm | phòng ăn | rửa | sao | sinh | sống | tháng | tin | tiếng pháp | trẻ | tên | tóc | uống | ăn | điếc | đêm | đôi | đường | đất,anh | biến | biết | bolivia | buổi | bà | bạn | bắc | bắn | bằng | bệnh | bệnh viêm | bị | bố | bức tranh | cao | cha | cho | chuyến | châu âu | chết | chỉ | chỗ | con nuôi | con thú | cong | các | cách | cô | cô gái | căn nhà | cơm | của | da | da trắng | des | dáng | dạy nghề | dấu | gian | giá sách | giúp | giải | giọng | giờ | giữa | góc tường | gối | hai | hay | hiểu | hơi | họ | học | hồi | khi | khoảng | khu | khuya | khác | không | kiếm | luxembourg | làm | lên chức | lòng | lúc | lưng | lưu lại | lạc | lấy được | lần | lầu | lớn | lớn lên | màu nâu xám | mình | mười mấy | mẫu | mắc | mắt | mẹ | mọi | mọi người | một | một người | mỹ | nghe | nghĩ | nghề | nghề may | nguồn | ngày | ngôi nhà | người | người campuchia | người mua | người nghèo | ngủ | nhau | nhiều | nhà | nhìn | nhận | nhỏ | nuôi | nên | năm | nơi | nơi gửi | nước | pháp | phòng | phòng học | phòng tiếp khách | phòng ăn | phận | phổi | quay | quận | ra | run | rõ | rất nhiều | rửa | sao | sau này | siberia | sinh | suy tim | suốt | sáng | sắp | sẵn có | số | sống | sống chung | thay | thiệp | thuê | thành | tháng | thăm | thương | thấy | thức | tim | tin | tiếng | tiếng pháp | tiền | trao | trên đường | trôi qua | trầm | trẻ | trời | tuổi | tên | tóc | tô | tôi | tấm bằng | tập sách | tối | tốn | từ | uống | việc | việc học nghề | vào | vì | vẹo | vẽ | vốn | vợ | xuống | xưởng | âu | ôm | ông | ăn | đi | đi chợ | điếc | điện | đáng nhớ | đáp | đây | đêm | đó | đôi | đưa | đường | đất | đầy | để | đồ gỗ | đời | đứa bé | đứa bé trai | đứa trẻ | ước | ảnh | ở | ở lại
data/testDataVietnamese/pp/sgk (338).txt,15.789473684210526,lan | màu | vị,cao | chảy | chất | không | không có | lan | màu | mùi | mọi | một | nước | phía | ra | thấm qua | thấp | từ | vật | vị | xuống
data/testDataVietnamese/pp/sgk (540).txt,13.725490196078432,bài | giọng | gối | gửi | lên | mang | ngày | nhóm | năm | sinh | thứ hai | truyền | tên | ý,buồn | buổi | bài | bên | bản | ca | canh | cha | cho | chỉ | chồng | cuộc | các | cùng | cạnh | cậu | cậu bé | của | dộng | ghi lại | giọng | giữa | gác | gối | gửi | ham | hay | học | khi | khoảng | khác | không | làm | lên | lính | lúc | lấy | lần | lầu | lớn lên | lời | mang | miền | miền đông | mình | môn | mười năm | mất | một | nghe | nghĩ | ngày | người | người cho | người hát | người học | nhà | nhóm | nâng | nét | nên | năm | nỗi đau | pháp | quân pháp | ra | sau này | sinh | suốt | sứ | tay | thành | thôi | thương | thấy | thầy | thứ hai | tiếng | tiếng trống | truyền | trường học | tên | tặng | tỉnh | tựa | vào | vùng | ông | ý | đi | đi vào | điểm | đoàn nhạc | đàn | đám | đánh trống | đây | đêm khuya | đó | đầy | để | ở
data/testDataVietnamese/pp/sgk (694).txt,15.957446808510639,bằng | cho ăn | cua | củ | gà | hạt | lớn | màu đỏ | mối | ngày | sống | trộn | uống | ăn | đường,b | bằng | bột | bột cá | cho | cho ăn | chất | chất bột | chất đạm | chỉ | cua | cá | các | cách | cám | có vỏ | cần | cỏ | cỏ tươi | củ | của | dạng | dễ | gà | gà con | gà mái đẻ | gạo | hay | hàng | hạt | họ đậu | khi | khoáng | khác | loại | lúa | lượng nhỏ | lạc | lấy | lớn | muốn | màu đỏ | mè | mầm | mềm | mối | một | nghiền thành bột | nguyên | nguồn | ngày | ngô | nhiều | nhỏ | nuôi | nảy | quả | rau | rau xanh | sấy khô | sắn | sống | ta | thiếu | thành | thúc | thịt | to | trộn | trứng | trứng gà | uống | vi | vi-ta-min c | vi-ta-min d | vi-ta-min e | vi-ta-min k | việc | vào | vì | vỏ | vỏ sò | vỏ trứng | vỏ tôm | vừng | xương | ăn | đó | đường | đạm | đập | đẻ | đẻ trứng | để
data/testDataVietnamese/pp/l (160).txt,20.689655172413794,a | bia | bẩn | bằng | bệnh | chợ | chủ | con | cộng hòa | củ | dầu | e | gen | giảm | giấy | giờ | gửi | họp | hỏng | hợp | i | khoản | khâu | khô | luật | lên | lấy mẫu | m | miễn | môi | n | ngành | ngày | nhóm | năm | phép | phép chiếu | rượu | rửa | sân | sống | thuốc | tháng | thứ | truyền | trừ | tên | uống | vitamin | ý | ăn | đơn | đường | đất,a | b | bia | bàn | bán | báo | bên | bản | bẩn | bằng | bếp ăn | bệnh | bị | bộ | bột | bụi | c | cao | cao nhất | chai | che | chiếu xạ | cho | chuyển | chuẩn | chuỗi | chín | chương | chất | chất diệt khuẩn | chết | chỉ | chống | chợ | chủ | con | cá | các | cách | có của | cùng | căng-tin | cấp | cần | cộng hòa | cụm từ | củ | của | d | diện | dân | dùng | dạng | dấu | dầu | dễ | e | g | gen | giao | giá | giảm | giảm bớt | giấy | giống | giống cây trồng | giờ | giữ | giữa | gây hại | gây ra | gửi | h | hay | hiểu | huyện | hàng | hái | hình | hạn | hết | họp | hỏng | hội | hợp | i | ii | iii | in | iv | ix | k | khi | kho | khoá | khoáng | khoản | khác | khác nhau | khâu | khô | không | không có | không đủ | khử trùng | kệ | kỳ | l | loại | luật | làm | làm sạch | lên | lô | lấy mẫu | lần | lối đi | lỗi | m | miễn | muối | mát | mình | môi | mùi | mất | mẫu | mắc | mặt đất | mọi | mốc | mối nguy | một | mục | mức | mức cao | n | nghề | nguyên | nguồn | nguồn nước | ngành | ngày | người | người bán hàng | người dân | người đứng đầu | ngừng | nhau | nhiều | nhà | nhãn | nhóm | nhận | nhỏ | năm | nơi | nước | nước uống | nặng | ph | phép | phép chiếu | phí | phòng | phạt | quyền | quả | quầy hàng | ra | rau | rong | rõ | rượu | rửa | suất ăn | sân | sạch | số | sống | sức | sữa | t | tay | thoát | thu | thuốc | thuốc chữa bệnh | thuộc | tháng | thêm vào | thôi | thông gió | thấp | thịt | thứ | tiếng việt | tiền | tiền thu được | trong suốt | truyền | tránh | trở | trứng | trừ | tuân theo | tách ra | tên | tính | tăng | tạm dừng | tạo nên | tạo ra | tỉnh | tốt | tủ kính | từ | uống | v | vi | vii | viii | vitamin | việc | việt nam | vào | vùng | vượt mức | vốn | vụ | x | xi | xii | xạ | ý | ăn | điều | điểm | điểm tới hạn | đoàn | đáp | đây | đính kèm | đó | đóng | đúng | đơn | đưa | đưa ra | đưa vào | đường | được phép | đạt | đất | để | đồ | độ ẩm | ưa | ước | ảnh | ở
data/testDataVietnamese/pp/l (188).txt,19.444444444444446,a | ba | bằng | bệnh | chia | chủ | con | câu hỏi | dẫn | e | giấy | giờ | gửi | hướng | họp | i | khoản | luật | m | mua | mở | n | ngành | ngày | người gửi | nhìn | năm | o | tháng | thêm | thứ | thứ ba | thứ hai | trừ | tên | tính từ | tòa án | u | án | đơn | đơn xin | đất,a | b | ba | ba mươi | ba phần tư | biết | bên | bên có | bảy | bằng | bệnh | bị | bốn | bộ | c | cha | cha hoặc mẹ | chia | cho | cho mượn | chuyển | chánh | chính | chương | chấp | chết | chỉ | chủ | con | con nuôi | các | câu hỏi | công | cùng | cạnh | cấp | cần | cần có | của | d | diện | dân | dấu | dấu và | dẫn | e | g | giao | giá | giá thấp | giấy | giờ | giữ | giữa | gắn | gửi | h | hai | hay | hoãn | huyện | hướng | hết | họ | họp | i | k | khi | khoá | khoản | khác | khác nhau | không | không biết chữ | không có | không có gì | kiện | kéo dài | kết | kỳ | l | loại | luật | làm | làm cho | làm người | lương | lấy | lần | lỗi | lời khai | m | mua | mình | mười | mười lăm | mất | mặt người | mẹ | mẹ nuôi | một | một người | một năm | một phần | mở | mức | n | ngang nhau | nghe | nghe lời | nguyên | nguồn | ngành | ngày | người | người bị kiện | người con | người có quyền | người gửi | người sau | nhau | nhiều | nhà | nhìn | nhận | nhận lại | nhờ | nuôi | năm | nơi | nơi gửi | nước | nợ | nửa | o | p | phiên | phiên họp | phí | phòng | phản tố | phần | phần cuối | quyền | quận | r | ra | rõ | rút | s | số | sổ | sửa | t | thu | thuê | thuận tình | thuộc | thành | tháng | thêm | thấy | thứ | thứ ba | thứ hai | tiếng việt | tiền | trong khi | trả | trả công | trả lại | trừ | tuân theo | tách | tên | tích | tính từ | tòa án | tải | tỉnh | từ | u | v | vii | viên | việc | việc nuôi | vào | vì | vế | vụ | vụ án | x | xii | xã | y | án | đi | điều | điểm | đây | đòi lại | đó | đóng | đúng | đơn | đơn xin | đưa | đưa ra | đưa vào | được phép | đất | đều | để | đợi | ở
